_id,Namespace GID,_key,nid,lid,gid,pid,var,sym,syn.0,syn.1,syn.2,keyword.0,keyword.1,keyword.2,keyword.3,keyword.4,rank,kind,type,format,type-key.type,type-key.terms.0,type-key.terms.1,type-key.terms.2,type-key.terms.3,type-key.terms.4,type-key.terms.5,type-key.terms.6,type-value.type,terms.0,terms.1,terms.2,terms.3,terms.4,terms.5,terms.6,terms.7,terms.8,terms.9,terms.10,terms.11,size.0,size.1,size.2,size.3,regex,range.0,range.1,range.2,range.3,unit,units.0,units.1,deploy,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,info.0
descriptors/keyword,:id,keyword,terms/:id,keyword,:id:keyword,,kKeyword,,keyword,kKeyword,,default,keyword,,,,,:kind:data:discrete,:type:value:str,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Keywords,List of keywords.,,,,
descriptors/username,:auth,username,terms/:auth,username,:auth:username,,kUsername,,username,kUsername,,default,user,code,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,User code,User identification code,,,,
descriptors/password,:auth,password,terms/:auth,password,:auth:password,,kPassword,,password,kPassword,,default,user,password,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,User password,Iser identification password.,,,,
descriptors/passcheck,:auth,passcheck,terms/:auth,passcheck,:auth:passcheck,,kPasswordCheck,,passcheck,kPasswordCheck,,default,user,password,check,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Password check,Password check.,,,,
descriptors/email,:auth,email,terms/:auth,email,:auth:email,,kEmail,,email,kEmail,,default,user,e-mail,,,,:kind:data:discrete,:type:value:email,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,E-mail,E-mail address.,,,,
descriptors/auth,:auth,auth,terms/:auth,data,:auth:data,,kAuthData,,auth,kAuthData,,default,user,authentication,data,,,:kind:data:discrete,:type:data:object,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Authorisation data,Credentials authorisation data.,,,,
descriptors/kind,:type,kind,terms/:type,kind,:type:kind,,kKind,,kind,kKind,,default,kind,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:kind:data,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Kind,Type category or domain.,,,,
descriptors/type,:type,type,terms/:type,type,:type:type,,kType,,type,kType,,default,type,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:type:value,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Data type,Data type definition.,This field contains the reference to the base data type of the descriptor.,,,
descriptors/type-key,:type,type-key,terms/:type,key,:type:key,,kTypeKey,,type-key,kTypeKey,,default,type,key,,,,:kind:data:discrete,:type:data:struct,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Key data type,Data type object keys.,"This field is used exclusively in the <em>object</em> type of key/value pairs: it defines the data type of keys; if omitted, the key is expected to be of text data type. The field is a structure containing the <code>type</code> field that defines the data type and an optional set of fields that add options to that data type.",,Using a type of <code>term</code> means that the structure keys must correspond to term <em>key references</em>.,
descriptors/type-value,:type,type-value,terms/:type,value,:type:value,,kTypeValue,,type-value,kTypeValue,,default,type,value,,,,:kind:data:discrete,:type:data:struct,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Value data type,Data type for object values.,"This field is used exclusively in the <em>object</em> type: it defines the data type of structure element values; if omitted, the values can be of any type. The field is a structure containing the <code>type</code> field that defines the data type and an optional set of fields that add options to that data type.",,This data type will be applied to all values of a structure.,
descriptors/type-cast,:type,type-cast,terms/:type,type-cast,:type:type-cast,,kTypeCast,,type-cast,kTypeCast,,default,type,validation,cast,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:cast,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Cast function,Data type cast function reference.,"This field contains a string that references a value cast function, this value is reserved to the system.",,,
descriptors/type-custom,:type,type-custom,terms/:type,type-custom,:type:type-custom,,kTypeCustom,,type-custom,kTypeCustom,,default,type,validation,custom,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:validate,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Custom validation,Custom data type validation reference.,"This field contains a string that references a custom validation function, this value is reserved to the system.",,,
descriptors/predicate,:type,predicate,terms/:type,predicate,:type:predicate,,kPredicate,,predicate,kPredicate,,default,predicate,,,,,:kind:data:categorical,:type:value:ref:id,:type:format:scalar,,,,,,,,,,:enum:predicate,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Predicate,Relationship type.,,,,
descriptors/traversal,:type,traversal,terms/:type,traversal,:type:traversal,,kTraversal,,traversal,kTraversal,,default,traversal,direction,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:type:traversal,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Traversal,Relationship direction.,,,,
descriptors/format,:type,format,terms/:type,format,:type:format,,kFormat,,format,kFormat,,default,format,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Format,The data format of the field.,"This value indicates the <em>value format</em>, it can be a <em>scalar</em>, a <em>list</em> or a <em>set</em>; this qualifier applies to the descriptor data type.",,"If you define a descriptor with a string data type, by applying the <em>scalar</em> format, the value is expected to be a single string; by applying a <em>list</em> format, the value is expected to be an array of strings; by applying the <em>set</em> format, the value is expected to be a list of unique strings.",
descriptors/unit,:type,unit,terms/:type,unit,:type:unit,,kUnit,,unit,kUnit,,default,unit,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:unit,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Standard unit,Default unit for data.,Provide in which <strong>measurement unit</strong> the <strong>data</strong> should be <strong>expressed</strong> in by <strong>default</strong>. Values expressed in <em>other units</em> should be <em>converted</em> to this unit.,,,
descriptors/units,:type,units,terms/:type,units,:type:units,,kUnits,,units,kUnits,,default,unit,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,:enum:unit,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Other units,List of other units in which values can be expressed.,"Provide all the <strong>list</strong> of <strong>measurement units</strong> in which <em>values</em> of <em>this type</em> <strong>may</strong> be <strong>expressed</strong> in, <em>excluding the standard unit</em>. This field is used by the system to automatically <em>convert provided values to the standard unit</em>.",,,
descriptors/terms,:enum,terms,terms/:enum,terms,:enum:terms,,kEnumTerm,,terms,kEnumTerm,,default,enumeration,term,,,,:kind:data:categorical,:type:value:enum,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Enumerated terms list,List of term controlled vocabularies.,"This field contains a list of <em>references</em> to <em>terms</em> that define <em>controlled vocabularies</em> that contain <en>term</em> elements, this set provides the <em>valid list of choices</em> for values of the <em>term data type</em>.",The elements of this controlled vocabulary are the <code>_key</code> field of the relative terms.,,
descriptors/fields,:enum,fields,terms/:enum,fields,:enum:fields,,kEnumField,,fields,kEnumField,,default,enumeration,descriptor,,,,:kind:data:categorical,:type:value:enum,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Enumerated fields list,List of descriptor controlled vocabularies.,"This field contains a list of <em>references</em> to <em>terms</em> that define <em>controlled vocabularies</em> that contain <en>descriptor</em> elements, this set provides the <em>valid list of choices</em> for values of the <em>field data type</em>.",The elements of this controlled vocabulary are the <code>gid</code> field of the relative descriptors.,,
descriptors/validation,:rule,validation,terms/:rule,validation,:rule:validation,,kValidation,,validation,kValidation,,default,validation,,,,:rank:system,:kind:data:discrete,:type:data:object,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Validation record,Structure containing validation options.,"<p>This field is a structure containing validation options, these are:</p> <ul>
<li><code>joi</code>: A string containing the chain of Joi validation commands, these will be fed to <code>eval()</code> and will be used to validate the descriptor value.</li>
<li><code>type-cast</code>: A string containing  function name that will be used to cast the value.</li>
<li><code>type-custom</code>: A string containing a function name that will be used to perform custom validation.</li>
<li><code>type-key</code>: A structure containing the first three elements of this list relating to validation of object keys.</li>
<li><code>type-value</code>: A structure containing the first three elements of this list relating to validation of object values.</li>
</ul>
",,,
descriptors/joi,:rule,joi,terms/:rule,joi,:rule:joi,,kJoi,,joi,kJoi,,default,validation,Joi,,,,:kind:data:discrete,:type:data:text,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Joi,Joi validation string.,This field contains a <em>string</em> corresponding to the <em>Joi</em> validation commands sequence for the whole field.,"The contents of this field are fed to the eval() function, so the caller must include the <em>Joi</em> JavaScript library. This field is set by the system.",,
descriptors/size,:rule,size,terms/:rule,size,:rule:size,,kSize,,size,kSize,,default,size,,,,,:kind:data:discrete,:type:value:size,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Size,Elements count range.,Provide the <strong>minimum</strong> and <strong>maximum</strong> number of <strong>elements</strong> for <em>lists</em> and <em>sets</em>.,"The <em>size</em> modifier indicates the <em>range of elements</em> when the list or set modifier is set, the <em>length</em> modifier indicates the <em>range of characters</em>, in case of a <em>string</em>, or the <em>range of elements</em> in case of types that <em>implicitly represent lists or sets</em>.",,
descriptors/length,:rule,length,terms/:rule,length,:rule:length,,kLength,,length,kLength,,default,length,,,,,:kind:data:discrete,:type:value:size,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Length,Item length range.,"Provide the <strong>minimum</strong> and <strong>maximum</strong> <strong>length</strong> for the field. If <em>not a scalar field</em>, this setting <em>applies</em> to the <em>elements</em> of the <em>list</em> or <em>set</em>.","The <em>size</em> modifier indicates the <em>range of elements</em> when the list or set modifier is set, the <em>length</em> modifier indicates the <em>range of characters</em>, in case of a <em>string</em>, or the <em>range of elements</em> in case of types that <em>implicitly represent lists or sets</em>.",,
descriptors/range,:rule,range,terms/:rule,range,:rule:range,,kRange,,range,kRange,,default,range,,,,,:kind:data:quantitative,:type:value:range,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Valid range,Range of valid values.,Provide the <strong>minimum</strong> and <strong>maximum</strong> value that the value is <em>allowed to take</em>.,,"To define a range where the *minimum* value must be *greater than zero* and the *maximum* value must *not exceed 99*: `0, 99, false, true`.",
descriptors/regex,:rule,regex,terms/:rule,regex,:rule:regex,,kRegex,,regex,kRegex,,default,regex,regular expression,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Regular expression,Regular expression used to validate input.,Provide a <strong>regular expression</strong> that the system can use for <strong>validating</strong> input values.,,To validate a *string* composed of *three digits* and *4 alphabetic lower string characters*: `[0-9]{3}[a-z]{4}`.,
descriptors/decimals,:rule,decimals,terms/:rule,decimals,:rule:decimals,,kDecimals,,decimals,kDecimals,,default,decimal,digits,,,,:kind:data:discrete,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Decimals,Number of decimals.,Provide the number of <strong>decimals</strong> when <em>displaying</em> the <em>number</em>.,,,
descriptors/sort,:rule,sort,terms/:rule,sort,:rule:sort,,kSort,,sort,kSort,,default,sort,field,,,,:kind:data:categorical,:type:value:field,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Sort,Sort field reference.,"The <em>property</em> may be <em>contained</em> the <em>vertex</em>, <em>edge</em> or in the edge <em>branch</em>. The <code>_key</code> value of the <em>referenced descriptor</em> will be used as the <em>match</em>. The <em>precedence order</em> is the <em>branch</em>, <em>edge</em> and <em>vertex</em>. The <em>traversal property</em> will be used to <em>determine which vertex to choose</em>: for <em>inbound</em> it will be the <em>source</em> node, for <em>outbound</em> it will be the <em>destination</em> node.","This property can be <em>set in two places</em>: at the <em>structure root node</em>, in which case it will be <em>inherited</em> by all <em>sibling edges</em>; or in an <em>edge</em>, in which case it will be <em>inherited</em> by all the <em>edge siblings</em>.",,
descriptors/init,:rule,init,terms/:rule,init,:rule:init,,kInit,,init,kInit,,default,initialiser,field,,,,:kind:data:categorical,:type:value:field,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Value initialiser,Value initialiser field reference.,"This is a reference to a field that is an element of a form, when set in a form field definition it indicates that if the form field is empty, its value should be initialised from the value of the field referenced by this descriptor. If the form field has the protected status, this value cannot be modified.",This descriptor is generally used in class or form edges to indicate that the descriptor referenced by the edge should take the value from the field (descriptor) referenced by this descriptor. The reference is expressed as the <code>gid</code> of the referenced descriptor.,,
descriptors/enable,:rule,enable,terms/:rule,enable,:rule:enable,,kEnable,,enable,kEnable,,default,enabler,field,,,,:kind:data:categorical,:type:value:field,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Field enabler,Field enabler field reference.,"This is a reference to a field that is an element of a form, when set in a form field definition it indicates that if the form contains the non empty field referenced in this descriptor, the current field will be enabled; if the referenced field is missing or empty, the current field will be disabled.",This descriptor is generally used in class or form edges to indicate that the descriptor referenced by the edge should be enabled only if the field (descriptor) referenced by this descriptor is set. The reference is expressed as the <code>gid</code> of the referenced descriptor.,,
descriptors/switch,:rule,switch,terms/:rule,switch,:rule:switch,,kSwitch,,switch,kSwitch,,default,enabler,field,switch,,,:kind:data:categorical,:type:value:field,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Enabler switch,Field enabler switch selection.,"This is a reference to a set of fields, including the current one, that are elements of a form: when set in a form field definition and the current field is present and set, all the other fields contained in this switch list will be disabled.",,,
descriptors/group,:role,group,terms/:role,group,:role:group,,kGroup,,group,kGroup,,default,user,group,,,,:kind:data:discrete,:type:value:ref:id,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Group,User group.,The user group to which the current user belongs.,,,
descriptors/manager,:role,manager,terms/:role,manager,:role:manager,,kManager,,manager,kManager,,default,user,manager,,,,:kind:data:discrete,:type:value:ref:id,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Manager,User manager.,The user or process that is the manager of the current user.,,,
descriptors/rank,:role,rank,terms/:role,rank,:role:rank,,kRank,,rank,kRank,,default,user,rank,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:rank,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Rank,User rank.,,Ranks belong to a controlled vocabulary organised in <em>hierarchical levels</em> determined by the <code>level</code> field. Lower <code>level</code> values correspond to higher hierarchical levels.,"A rank with level <code>2</code> will authorise ranks of <code>level</code> less than and including <code>2</code>, but will forbid ranks with <code>level</code> higher than <code>2</code>.",
descriptors/role,:role,role,terms/:role,role,:role:role,,kRole,,role,kRole,,default,user,role,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,:enum:role,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Role,User roles.,,,,
descriptors/deploy,:state,deploy,terms/:state,deploy,:state:deploy,,kDeploy,,deploy,kDeploy,,default,state,deployment,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:state:application,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Implementation,Implementation status.,This value indicates the <strong>implementation level</strong> at which the item was <strong>deployed</strong>.,,,
descriptors/status,:state,status,terms/:state,status,:state:status,,kStatus,,status,kStatus,,default,state,status,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:state:status,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Status,Status of the object.,"This value indicates the <strong>status</strong> of the <strong>item</strong>, it provides information on the <em>implementation component level</em> and on the <em>validation state</em>.",,,
descriptors/access,:state,access,terms/:state,access,:state:access,,kAccess,,access,kAccess,,default,state,access,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:state:access,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Access,Access rights to the object.,"This value indicates the <strong>access status</strong> to the item, it provides information on <strong>who</strong> and <strong>how</strong> the item can be <strong>managed</strong>.",,,
descriptors/usage,:state,usage,terms/:state,usage,:state:usage,,kUsage,,usage,kUsage,,default,state,usage,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:state:usage,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Usage,Usage options.,"This value indicates the <strong>usage status</strong>, it provides information on the <strong>requirements</strong> and <strong>restrictions</strong> in <strong>using</strong> the item.",,,
descriptors/interface,:state,interface,terms/:state,interface,:state:interface,,kInterface,,interface,kInterface,,default,state,interface,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:state:interface,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Interface,Interface options.,"This value indicates how the item is to be exchanged wit the system, as a read-only property, as a modifiable field or as a hidden value.",,,
descriptors/level,:state,level,terms/:state,level,:state:level,,kLevel,,level,kLevel,,default,hierarchy,level,,,,:kind:data:ordinal,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Level,Level or hierarchy.,"This value indicates the <strong>hierarchy level</strong> of the item, it contains a <strong>numeric value</strong> that represents the <strong>level</strong> in the <strong>hierarchy</strong>. <em>Lower values</em> represent a <em>higher importance level</em>, this means that current attributes <em>cannot</em> be of a <em>level</em> with a <em>lower value</em> than the eventual <em>inherited attribute</em>.",,,
descriptors/order,:state,order,terms/:state,order,:state:order,,kOrder,,order,kOrder,,default,sort,order,,,,:kind:data:ordinal,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Order,Sequence or order.,"This value indicates the <strong>order</strong> of the item in a list, it contains a <strong>numeric value</strong> that represents the <strong>position</strong> in the <strong>list</strong>. <em>Lower values</em> will have a <em>lower position</em>.",,,
descriptors/language,:state,language,terms/:state,language,:state:language,,kLanguage,,language,kLanguage,,default,language,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:language,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Language,Default language.,This value indicates the <strong>default language</strong> in which the application elements will be <strong>displayed</strong>.,,,
descriptors/label,:def,label,terms/:def,label,:def:label,,kLabel,,label,kLabel,,default,label,name,,,,:kind:data:qualitative,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:data:text,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Label,"Name, label or short description","Provide a <strong>short description</strong> that can be used to <strong>name</strong> the current object. This text should allow a human reader to <em>identify the object</em> in colloquial terms. Such values will be used as <em>field labels</em> in a form, or as descriptive <em>labels</em> in a table header.",,For Mid-upper arm circumference: `Mid-upper arm circumference`,
descriptors/definition,:def,definition,terms/:def,definition,:def:definition,,kDefinition,,definition,kDefinition,,default,definition,,,,,:kind:data:qualitative,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:data:text,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Definition,Full object definition.,"Provide the <strong>full definition</strong> for the object, this text should clearly explain <strong>what</strong> the object is. Such values will be used as <em>tooltips</em> that provide additional information to the labels.",,For Mid-upper arm circumference:\n`MUAC is the circumference of the left upper arm and is measured at the mid-point between the tips of the shoulder and elbow.`,
descriptors/description,:def,description,terms/:def,description,:def:description,,kDescription,,description,kDescription,,default,description,,,,,:kind:data:qualitative,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:value:html,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Description,Full object description,"Provide the <strong>full description</strong> of the object and the environment in which it is used. This explanation should convey <strong>how</strong> the object functions or, in the case of a measurement, the <strong>methods</strong> used to obtain it.",,"For Mid-upper arm circumference:\n\n> To measure:\n>\n> 1. Bend the left arm, find and mark with a pen the olecranon process and acromium.\n> 2. Mark the mid-point between these two marks.\n> 3. With the arm hanging straight down, wrap a MUAC tape around the arm at the midpoint mark.\n> 4. Measure to the nearest 1 mm.\n>\n> In children 6-59 month old, MUAC <110 mm indicates severe acute malnutrition and is recommended as …",
descriptors/note,:def,note,terms/:def,note,:def:note,,kNote,,note,kNote,,default,note,,,,,:kind:data:qualitative,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:value:html,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Notes,Notes and comments,"Provide here general <strong>comments</strong> and <strong>annotations</strong>, this field can also be used to provide information about <strong>implementation details</strong> and <strong>instructions</strong> directed towards <em>users</em> that need to <em>customise</em> the system.",,For Mid-upper arm circumference:\n`MUAC is the circumference of the left upper arm and is measured at the mid-point between the tips of the shoulder and elbow.`,
