,_id,Namespace GID,_key,nid,lid,gid,var,sym,syn.0,syn.1,syn.2,logo,keyword.0,keyword.1,keyword.2,keyword.3,keyword.4,keyword.5,keyword.6,type-cast,type-custom,collection,instance,traversal,length.0,length.1,length.2,length.3,regex,deploy,level,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,class,store,instances.0,info.0,schema
,terms/:format,,:format,terms/:,format,:format,kFormat,,format,kFormat,,,format,,,,,,,,,,,,,,,,,:state:application:default,,Format,Default formats namespace.,"This namespace groups all default formats, a format determines the shape of a data element.",The format is used as a modifier in a data type to define a list or set of elements of the given data type.,A descriptor of text data type may be made into a list of text items by indicating the list modifier in the format property.,,,,,
,terms/:rank,,:rank,terms/:,rank,:rank,kRank,,rank,kRank,,,rank,,,,,,,,,,,,,,,,,:state:application:default,,Rank,Default ranks namespace.,"This namespace groups all default ranks, a rank determines the hierarchy of an itemt.","The rank is applied to users, it determines what kind of resources the user has access to in the application.","A user with rank standards can access standards and user created objects, but cannot access default or system resources.",,,,,
,terms/:role,,:role,terms/:,role,:role,kRole,,role,kRole,,,role,,,,,,,,,,,,,,,,,:state:application:default,,Role,Default roles namespace.,"This namespace groups all default roles, a role is a specific function that a user is allowed to perform.",Each user has a set of roles that determine which actions the user is allowed to perform in the application.,A user may upload datasets only if the user record has the upload role.,,,,,
,terms/:unit,,:unit,terms/:,unit,:unit,kUnit,,unit,kUnit,,,unit,,,,,,,,,,,,,,,,,:state:application:default,,Unit,Default measurement units namespace.,"This namespace groups all default units, a unit is a standard measure.",The unit is used to indicate the measurement standard of values stored in a specific descriptor.,"Gram, kilogram or meter are unit examples.",,,,,
,terms/:lang,,:lang,terms/:,lang,:lang,kLang,,lang,kLang,,,language,,,,,,,,,,,,,,,,,:state:application:default,,Language,Default languages namespace.,This namespace groups all default languages used in the application.,,,,,,,
,terms/:id,,:id,terms/:,id,:id,kId,,id,kId,,,id,identifier,,,,,,,,,,,,,,,,:state:application:default,,Identification,Default identification and naming attributes namespace.,This namespace groups all items that have the function of providing identification and naming discrimination to objects.,,,,,,,
,terms/:auth,,:auth,terms/:,auth,:auth,kAuth,,auth,kAuth,,,authentication,authorisation,,,,,,,,,,,,,,,,:state:application:default,,Authentication,Default credentials authorisation data namesoace.,This namespace groups all items that represent authentication properties and attributes.,,,,,,,
,terms/:def,,:def,terms/:,def,:def,kDef,,def,kDef,,,definition,description,,,,,,,,,,,,,,,,:state:application:default,,Definition,Default definitions and descriptions namespace.,This namespace groups all items that represent definitions or descriptions.,,,,,,,
,terms/:event,,:event,terms/:,event,:event,kEvent,,event,kEvent,,,event,,,,,,,,,,,,,,,,,:state:application:default,,Event,Default events namespace.,This namespace groups all items that represent events.,,,,,,,
,terms/:state,,:state,terms/:,state,:state,kState,,state,kState,,,state,status,,,,,,,,,,,,,,,,:state:application:default,,Status,Default status and state information namespace.,This namespace groups all items that represent status information. ,,,,,,,
,terms/:rule,,:rule,terms/:,rule,:rule,kRule,,rule,kRule,,,rule,option,modifier,,,,,,,,,,,,,,,:state:application:default,,Rule,Default validation rules namespace.,This namespace groups all items that represent validation rule properties and attributes.,,,,,,,
,terms/:stat,,:stat,terms/:,stat,:stat,kStat,,stat,kStat,,,statistics,,,,,,,,,,,,,,,,,:state:application:default,,Statistics,Default summaries and statistics namespace.,This namespace groups all items that represent statistical and summary information.,,,,,,,
,terms/:edge,,:edge,terms/:,edge,:edge,kEdge,,edge,kEdge,,,edge,relationship,,,,,,,,,,,,,,,,:state:application:default,,Edge,Default edge properties namespace.,This namespace groups all terms and properties related to directed graph edges.,,,,,,,
,terms/:predicate,,:predicate,terms/:,predicate,:predicate,kPredicate,,predicate,kPredicate,,,predicate,,,,,,,,,,,,,,,,,:state:application:default,,Predicate,Default relationship predicates namespace.,This namespace groups all terms that define the type of relationships.,,,,,,,
,terms/:custom,,:custom,terms/:,custom,:custom,kCustom,,custom,kCustom,,,custom,,,,,,,,,,,,,,,,,:state:application:default,,Custom,Default custom components namespace.,This namespace groups all items that are neither default or standard components.,All items added to default or standard components will be added under this namespace.,,,,,,
,terms/:type:domain,:type,:type:domain,terms/:type,domain,:type:domain,kTypeDomain,,domain,kTypeDomain,,,enumeration,type,domain,,,,,,,,,,,,,,,:state:application:default,,Domain type,List of domain types.,"This controlled vocabulary groups all domain types, domain types qualify domain groups.",,,,,,,
,terms/:type:domain:object,:type:domain,:type:domain:object,terms/:type:domain,object,:type:domain:object,kTypeDomainObject,,object,kTypeDomainObject,,,type,domain,object,,,,,,,,,,,,,,,:state:application:default,,Object domain,Object domains.,This domain type groups objects under functional categories.,,,,,,,
,terms/:enum:domain,:enum,:enum:domain,terms/:enum,domain,:enum:domain,kEnumDomain,,domain,kEnumDomain,,,enumeration,domain,,,,,,,,,,,,,,,,:state:application:default,,Domains,List of domains.,This controlled vocabulary groups all domains.,,,,,,,
✔︎,terms/:domain:dict,:domain,:domain:dict,terms/:domain,dict,:domain:dict,kDomainDict,,dict,kDomainDict,,,domain,object,dictionary,,,,,,,,,,,,,,,:state:application:default,,Dictionary,Dictionary and structure definitions.,"This domain groups all terms that have the <em>function</em> of defining <em>dictionary structures</em> and <em>views</em>. Data types, classes, forms and controlled vocabularies belong to this domain.",,,,,,,
✔︎,terms/:domain:geo,:domain,:domain:geo,terms/:domain,geo,:domain:geo,kDomainGeo,,geo,kDomainGeo,,,domain,object,geography,,,,,,,,,,,,,,,:state:application:default,,Geography,Geographic information.,"This domain groups all objects that represent <em>geographic items</em>, such as <em>locations</em>, <em>administrative units</em>, <em>toponyms</em>, <em>shapes</em> and the <em>relationships</em> between these elements. The elements of this domain are shared in different contexts, so they should be considered as standards.",,,,,,,
✔︎,terms/:domain:auth,:domain,:domain:auth,terms/:domain,auth,:domain:auth,kDomainAuth,,auth,kDomainAuth,,,domain,object,authentication,,,,,,,,,,,,,,,:state:application:default,,Authentication,User and authentication resources.,"This domain groups all objects that represent users, their actions and authentication information.",,,,,,,
✔︎,terms/:domain:sys,:domain,:domain:sys,terms/:domain,sys,:domain:sys,kDomainSys,,sys,kDomainSys,,,domain,object,system,,,,,,,,,,,,,,,:state:application:default,,System,System resources.,"This domain groups all objects that represent <em>system resources</em>, <em>procedures</em> and <em>attributes</em>. These include, user management, settings and other system specific functions.",,,,,,,
✔︎,terms/:domain:study,:domain,:domain:study,terms/:domain,study,:domain:study,kDomainStudy,,study,kDomainStudy,,,domain,object,data,study,,,,,,,,,,,,,,:state:application:default,,Study,"Surveys, reports and data collections.","This domain groups all objects that represent data studies, their original datasets and annex documents.",,,,,,,
✔︎,terms/:domain:dataset,:domain,:domain:dataset,terms/:domain,dataset,:domain:dataset,kDomainDataset,,dataset,kDomainDataset,,,domain,object,data,dataset,,,,,,,,,,,,,,:state:application:default,,Dataset,Data collection.,This domain groups all objects that represent a <em>data collection</em>.,,,,,,,
✔︎,terms/:domain:survey,:domain,:domain:survey,terms/:domain,survey,:domain:survey,kDomainSurvey,,survey,kDomainSurvey,,,domain,object,data,survey,,,,,,,,,,,,,,:state:application:default,,Survey,A survey dataset.,This domain groups all objects that represent data from <em>survey datasets</em>.,,,,,,,
,terms/:type:instance,:type,:type:instance,terms/:type,instance,:type:instance,kTypeInstance,,instance,kTypeInstance,,,enumeration,type,instance,,,,,,,,,,,,,,,:state:application:default,,Instance type,List of instance types.,This enumeration collects the main instance categories that any object may take. This represents the root instances domain.,,,,,,,
,terms/:type:instance:term,:type:instance,:type:instance:term,terms/:type:instance,term,:type:instance:term,kTypeInstanceTerm,,term,kTypeInstanceTerm,,,type,instance,term,,,,,,,,,,,,,,,:state:application:default,,Term instance,List of term object instances.,"This enumeration collects all the different term types, each term object belongs to one or more of these categories.",,A term may have an <em>enumeration</em> iinstance when it is used as the root of a controlled vocabulary and it may also have a <en>selection</em> instance when it is used as an enumeration choice.,,,,,
,terms/:type:instance:descriptor,:type:instance,:type:instance:descriptor,terms/:type:instance,descriptor,:type:instance:descriptor,kTypeInstanceDescriptor,,descriptor,kTypeInstanceDescriptor,,,type,instance,descriptor,,,,,,,,,,,,,,,:state:application:default,,Descriptor instance,List of descriptor object instances.,"This enumeration collects all the different descriptor types, each descriptor object belongs to one of these categories.",,A text and a string descriptor both belong to <em>the text field</em> instance; an integer and a real number descriptors both belong to the <em>number</em> field instance.,,,,,
,terms/:type:instance:edge,:type:instance,:type:instance:edge,terms/:type:instance,edge,:type:instance:edge,kTypeInstanceEdge,,edge,kTypeInstanceEdge,,,type,instance,relationship,,,,,,,,,,,,,,,:state:application:default,,Relationship instance,List of graph relationship object instances.,"This enumeration collects all the different types of edge objects, each edge belongs to one of these categories.","The discriminating factor for this category is both the scope and the key structure of the edge: the scope determines what domains the edge relates, while the key structure indicates which elements of the edge are used to uniquely identify the object.","A schema edge is an object that relates data dictionary elements, that resides in the schemas collection and that uses its predicate, in addition to the relationship nodes, to uniquely identify the object. An edge attribute object relates data dictionary and geographic elements, it resides in the edges collection and is uniquely identified by the related nodes, the predicate and its attributes.",,,,,
,terms/:type:instance:geo,:type:instance,:type:instance:geo,terms/:type:instance,geo,:type:instance:geo,kTypeInstanceGeo,,geo,kTypeInstanceGeo,,,type,instance,geography,,,,,,,,,,,,,,,:state:application:default,,Geographic instance,List of geographic object instances.,This category applies to all objects that represent geographic entities.,,Geographic instances are toponyms and shapes.,,,,,
,terms/:type:instance:user,:type:instance,:type:instance:user,terms/:type:instance,user,:type:instance:user,kTypeInstanceUser,,user,kTypeInstanceUser,,,type,instance,authentication,,,,,,,,,,,,,,,:state:application:default,,User instance,List of user related object instances.,This enumeration collects all user related object instance types.,,"User documents, groups, sessions and logs belong to this category.",,,,,
,terms/:type:instance:system,:type:instance,:type:instance:system,terms/:type:instance,system,:type:instance:system,kTypeInstanceSystem,,system,kTypeInstanceSystem,,,type,instance,system,,,,,,,,,,,,,,,:state:application:default,,System instance,List of system object instances.,This enumeration collects all system related object instance types.,,Errors and messages belong to this category.,,,,,
,terms/:type:instance:data,:type:instance,:type:instance:data,terms/:type:instance,data,:type:instance:data,kTypeInstanceData,,data,kTypeInstanceData,,,type,instance,data,,,,,,,,,,,,,,,:state:application:default,,Data instance,List of data object instances.,This enumeration collects all data related object instance types.,,"Studies, annexes and datasets belong to this category.",,,,,
,terms/:enum:instance,:enum,:enum:instance,terms/:enum,instance,:enum:instance,kEnumInstance,,instance,kEnumInstance,,,enumeration,instance,,,,,,,,,,,,,,,,:state:application:default,,Instances,List of instances.,,,,,,,,
,terms/:instance:namespace,:instance,:instance:namespace,terms/:instance,namespace,:instance:namespace,kInstanceNamespace,,namespace,kInstanceNamespace,,,instance,namespace,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Namespace,A namespace definition.,Namespaces are terms used to disambiguate identifiers.,"Any class that conforms to the term identification protocol, that is, has a global identifier (<code>gid</code>), can be used as a namespace.",,:class:term:namespace,,:instance:instance,,
,terms/:instance:template,:instance,:instance:template,terms/:instance,template,:instance:template,kInstanceTemplate,,template,kInstanceTemplate,,,instance,template,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Template,A template definition.,"Templates are directed graph term nodes that will not be recorded when traversing the structure, their function is to collect a set of child elements as if these were directly attached to the parent node.","A template can only have this instance category, it cannot be used as other types of instances. In general, templates will hold sort field information to change the inherited sort order, but not appear as a tree node.",,:class:term:template,,:instance:instance,,
,terms/:instance:enumeration,:instance,:instance:enumeration,terms/:instance,enumeration,:instance:enumeration,kInstanceEnumeration,,enumeration,kInstanceEnumeration,,,instance,controlled vocabulary,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Enumeration,A controlled vocabulary definition.,Enumerations are terms that define controlled vocabularies.,"An enumeration is a directed graph structured as a tree that implements a nested controlled vocabulary, the object is the term that defines the root element.",,:class:term:enumeration,,:instance:instance,,
,terms/:instance:selection,:instance,:instance:selection,terms/:instance,selection,:instance:selection,kInstanceSelection,,selection,kInstanceSelection,,,instance,element,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Selection,A controlled vocabulary element.,A selection is a term representing a controlled vocabulary element.,,,:class:term:selection,,:instance:instance,,
,terms/:instance:category,:instance,:instance:category,terms/:instance,category,:instance:category,kInstanceCategory,,category,kInstanceCategory,,,instance,category,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Category,A category definition,"A category is a term of a controlled vocabulary that is used as a header or group, but that is not a valid selection.",,,:class:term:category,,:instance:instance,,
,terms/:instance:collection,:instance,:instance:collection,terms/:instance,collection,:instance:collection,kInstanceCollection,,collection,kInstanceCollection,,,instance,collection,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Collection,A collection definition.,A collection is a term that defines a data collection.,,,:class:term:collection,,:instance:instance,,
,terms/:instance:instance,:instance,:instance:instance,terms/:instance,instance,:instance:instance,kInstanceInstance,,instance,kInstanceInstance,,,instance,,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Instance,An object instance definition.,An instance is a term that defines a specific object type instance.,,,:class:term:instance,,:instance:instance,,
,terms/:instance:type,:instance,:instance:type,terms/:instance,type,:instance:type,kInstanceType,,type,kInstanceType,,,instance,type,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Data type,A generic data type definition.,A term that defines a generic data type.,,,:class:term:type,,:instance:instance,,
,terms/:instance:type:text,:instance:type,:instance:type:text,terms/:instance:type,text,:instance:type:text,kInstanceTypeText,,text,kInstanceTypeText,,,instance,type,text,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Text data type,A text data type definition.,A term that defines a text data type.,A text data type may provide the regular expression validating the text value and the length bounds of the string.,,:class:term:type:text,,:instance:instance,,
,terms/:instance:type:quant,:instance:type,:instance:type:quant,terms/:instance:type,quant,:instance:type:quant,kInstanceTypeQuant,,quant,kInstanceTypeQuant,,,instance,type,quantity,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Quantity data type,A quantitative data type definition.,A term that defines a quantitative data type.,A quantitative data type represents a measure that may include range bounds.,,:class:term:type:quant,,:instance:instance,,
,terms/:instance:predicate,:instance,:instance:predicate,terms/:instance,predicate,:instance:predicate,kInstancePredicate,,predicate,kInstancePredicate,,,instance,predicate,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Predicate,A relationship type definition.,A predicate is a term that defines the type of a relationship.,,,:class:term:predicate,,:instance:instance,,
,terms/:instance:class,:instance,:instance:class,terms/:instance,class,:instance:class,kInstanceClass,,class,kInstanceClass,,,instance,class,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Class,A data structure class definition.,A class is a term that defines a data structure.,A class is a data structure definition that can be shared both as a super-class or component of an object data structure definition.,,:class:term:class,,:instance:instance,,
,terms/:instance:struct,:instance,:instance:struct,terms/:instance,struct,:instance:struct,kInstanceStruct,,struct,kInstanceStruct,,,instance,structure,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Structure,A data structure definition.,A structure is a term that groups a collection of descriptors.,A structure is a data structure definition that is complete and does not depend on classes.,,:class:term:struct,,:instance:instance,,
,terms/:instance:form,:instance,:instance:form,terms/:instance,form,:instance:form,kInstanceForm,,form,kInstanceForm,,,instance,form,,,,,,,,:collection:terms,,,,,,,,:state:application:default,,Form,An input/output form definition.,A form is a term that defines an input/output data exchange form.,"A form is a structure definition for an interactive input or output screen, it defines what information is exchanged between users and the system.",,:class:term:form,,:instance:instance,,
,terms/:instance:field,:instance,:instance:field,terms/:instance,field,:instance:field,kInstanceField,,field,kInstanceField,,,instance,field,,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Descriptor,A generic descriptor definition.,A generic value definition.,,,:class:descriptor:any,,:instance:instance,,
,terms/:instance:field:txt,:instance:field,:instance:field:txt,terms/:instance:field,txt,:instance:field:txt,kInstanceFieldTxt,,txt,kInstanceFieldTxt,,,instance,field,text,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Text descriptor,A text descriptor definition.,A value definition of type text or string.,This category collects all data types that represent text values.,,:class:descriptor:txt,,:instance:instance,,
,terms/:instance:field:key,:instance:field,:instance:field:key,terms/:instance:field,key,:instance:field:key,kInstanceFieldKey,,key,kInstanceFieldKey,,,instance,field,key,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Key descriptor,A key string descriptor definition.,A value definition of type key or variable.,This category collects all data types that represent text value that are used as object keys.,,:class:descriptor:key,,:instance:instance,,
,terms/:instance:field:iaddr,:instance:field,:instance:field:iaddr,terms/:instance:field,iaddr,:instance:field:iaddr,kInstanceFieldIaddr,,iaddr,kInstanceFieldIaddr,,,instance,field,URL,e-mail,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Internet address descriptor,An internet address descriptor definition.,A value definition of type URL or e-mail.,This category collects all data types that represent references to internet resources.,,:class:descriptor:iaddr,,:instance:instance,,
,terms/:instance:field:enc,:instance:field,:instance:field:enc,terms/:instance:field,enc,:instance:field:enc,kInstanceFieldEnc,,enc,kInstanceFieldEnc,,,instance,field,XML,SVG,HTML,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Encoded text descriptor,An encoded text descriptor definition.,"A value definition of type XML, SVG or HTML.",This category collects all data types that represent encoded text values.,,:class:descriptor:enc,,:instance:instance,,
,terms/:instance:field:hex,:instance:field,:instance:field:hex,terms/:instance:field,hex,:instance:field:hex,kInstanceFieldHex,,hex,kInstanceFieldHex,,,instance,field,hexadecimal,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,HEX descriptor,A hexadecimal value descriptor definition.,A value definition of a hexadecimal string.,This category applies to hexadecimal values.,,:class:descriptor:hex,,:instance:instance,,
,terms/:instance:field:date,:instance:field,:instance:field:date,terms/:instance:field,date,:instance:field:date,kInstanceFieldDate,,date,kInstanceFieldDate,,,instance,field,date,timestamp,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Date descriptor,A time period descriptor definition.,A value definition of a date and/or time.,This category collects all data types that represent dates or time stamps.,,:class:descriptor:date,,:instance:instance,,
,terms/:instance:field:num,:instance:field,:instance:field:num,terms/:instance:field,num,:instance:field:num,kInstanceFieldNum,,num,kInstanceFieldNum,,,instance,field,number,numeric,hexadecimal,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Number descriptor,A numeric descriptor definition.,A value definition of a generic number.,This category collects all data types that represent numeric values.,,:class:descriptor:num,,:instance:instance,,
,terms/:instance:field:bool,:instance:field,:instance:field:bool,terms/:instance:field,bool,:instance:field:bool,kInstanceFieldBool,,bool,kInstanceFieldBool,,,instance,field,boolean,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Boolean descriptor,A boolean descriptor.,A value definition of a boolean.,This category collects all data types that represent boolean values.,,,,:instance:instance,,
,terms/:instance:field:range,:instance:field,:instance:field:range,terms/:instance:field,range,:instance:field:range,kInstanceFieldRange,,range,kInstanceFieldRange,,,instance,field,range,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Range descriptor,A range descriptor definition.,A value definition of a generic range.,This category collects all data types that represent ranges.,,:class:descriptor:range,,:instance:instance,,
,terms/:instance:field:ref,:instance:field,:instance:field:ref,terms/:instance:field,ref,:instance:field:ref,kInstanceFieldRef,,ref,kInstanceFieldRef,,,instance,field,reference,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Object reference descriptor,An object reference descriptor definition.,A value definition of an object reference.,This category collects all data types that represent generic object references.,,:class:descriptor:ref,,:instance:instance,,
,terms/:instance:field:ref:term,:instance:field:ref,:instance:field:ref:term,terms/:instance:field:ref,term,:instance:field:ref:term,kInstanceFieldRefTerm,,term,kInstanceFieldRefTerm,,,instance,field,reference,term,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Term reference descriptor,A term reference descriptor definition.,A value definition of a term reference or enumeration.,This category collects all data types that represent term references.,,:class:descriptor:ref:term,,:instance:instance,,
,terms/:instance:field:ref:field,:instance:field:ref,:instance:field:ref:field,terms/:instance:field:ref,field,:instance:field:ref:field,kInstanceFieldRefField,,field,kInstanceFieldRefField,,,instance,field,reference,descriptor,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Field reference descriptor,A field reference descriptor definition.,A value definition of a descriptor reference or enumeration.,This category collects all data types that represent descriptor references.,,:class:descriptor:ref:field,,:instance:instance,,
,terms/:instance:field:array,:instance:field,:instance:field:array,terms/:instance:field,array,:instance:field:array,kInstanceFieldArray,,array,kInstanceFieldArray,,,instance,field,array,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Array descriptor,An array value descriptor.,A value definition of an array or list of heterogeneous values.,This category collects all data types that represent lists and sets.,,,,:instance:instance,,
,terms/:instance:field:struct,:instance:field,:instance:field:struct,terms/:instance:field,struct,:instance:field:struct,kInstanceFieldStruct,,struct,kInstanceFieldStruct,,,instance,field,structure,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Structure descriptor,A data structure descriptor definition.,A value definition of a data structure.,This category collects all data types that represent structured data.,,:class:descriptor:struct,,:instance:instance,,
,terms/:instance:field:map,:instance:field,:instance:field:map,terms/:instance:field,map,:instance:field:map,kInstanceFieldMap,,map,kInstanceFieldMap,,,instance,field,mapped,,,,,,,:collection:descriptors,,,,,,,,:state:application:default,,Mapped descriptor,A mapped value descriptor definition.,A value definition of a generic mapped structure.,This category collects all data types that represent structures with enumerated keys.,,:class:descriptor:map,,:instance:instance,,
,terms/:instance:schema,:instance,:instance:schema,terms/:instance,schema,:instance:schema,kInstanceSchema,,schema,kInstanceSchema,,,instance,schema,,,,,,,,:collection:schemas,,,,,,,,:state:application:default,,Dictionary edge,A schema edge.,"This is a non branched dictionary edge instance identified by the source, destination and predicate.","This type of edge resides in the schemas collection, it relates terms and descriptors among each other and links geographic items to terms.",,:class:edge,,:instance:instance,,
,terms/:instance:schema:attribute,:instance:schema,:instance:schema:attribute,terms/:instance:schema,attribute,:instance:schema:attribute,kInstanceSchemaAttribute,,attribute,kInstanceSchemaAttribute,,,instance,schema,attribute,,,,,,,:collection:schemas,,,,,,,,:state:application:default,,Dictionary attribute edge,A schema attribute edge.,"This is a non branched dictionary edge instance identified by the source, destination, predicate and attributes.",,,:class:edge:attribute,,:instance:instance,,
,terms/:instance:schema:branch,:instance:schema,:instance:schema:branch,terms/:instance:schema,branch,:instance:schema:branch,kInstanceSchemaBranch,,branch,kInstanceSchemaBranch,,,instance,schema,branch,,,,,,,:collection:schemas,,,,,,,,:state:application:default,,Dictionary branch edge,A schema branch edge.,"This is a branched dictionary edge instance identified by the source, destination and predicate, featuring a required branches list and eventual modifiers structures.",,,:class:edge:branch,,:instance:instance,,
,terms/:instance:edge,:instance,:instance:edge,terms/:instance,edge,:instance:edge,kInstanceEdge,,edge,kInstanceEdge,,,instance,edge,,,,,,,,:collection:edges,,,,,,,,:state:application:default,,Toponym edge,A toponym edge.,"This is a non branched toponym edge instance identified by the source, destination and predicate.","This type of edge resides in the edges collection, it relates geographic items among each other and links terms to geographic items.",,:class:edge,,:instance:instance,,
