_key,_from,_to,predicate,level,order,branch
XXX,terms/:instance:field:hex,terms/:type:instance:descriptor,terms/:predicate:enum-of,,6,terms/:enum:instance
XXX,terms/:instance:field:date,terms/:type:instance:descriptor,terms/:predicate:enum-of,,7,terms/:enum:instance
XXX,terms/:instance:field:num,terms/:type:instance:descriptor,terms/:predicate:enum-of,,8,terms/:enum:instance
XXX,terms/:instance:field:bool,terms/:type:instance:descriptor,terms/:predicate:enum-of,,9,terms/:enum:instance
XXX,terms/:instance:field:range,terms/:type:instance:descriptor,terms/:predicate:enum-of,,10,terms/:enum:instance
XXX,terms/:instance:field:ref,terms/:type:instance:descriptor,terms/:predicate:enum-of,,11,terms/:enum:instance
XXX,terms/:instance:field:ref:term,terms/:type:instance:descriptor,terms/:predicate:enum-of,,12,terms/:enum:instance
XXX,terms/:instance:field:ref:field,terms/:type:instance:descriptor,terms/:predicate:enum-of,,13,terms/:enum:instance
XXX,terms/:instance:field:array,terms/:type:instance:descriptor,terms/:predicate:enum-of,,14,terms/:enum:instance
XXX,terms/:instance:field:struct,terms/:type:instance:descriptor,terms/:predicate:enum-of,,15,terms/:enum:instance
XXX,terms/:instance:field:map,terms/:type:instance:descriptor,terms/:predicate:enum-of,,16,terms/:enum:instance
XXX,terms/:instance:schema,terms/:type:instance:edge,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:schema:attribute,terms/:instance:schema,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:schema:branch,terms/:instance:schema,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:edge,terms/:type:instance:edge,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:edge:attribute,terms/:instance:edge,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:edge:branch,terms/:instance:edge,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:link,terms/:type:instance:edge,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:link:attribute,terms/:instance:link,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:link:branch,terms/:instance:link,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:user,terms/:type:instance:user,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:manager,terms/:type:instance:user,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:group,terms/:type:instance:user,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:session,terms/:type:instance:user,terms/:predicate:enum-of,,4,terms/:enum:instance
XXX,terms/:instance:log,terms/:type:instance:user,terms/:predicate:enum-of,,5,terms/:enum:instance
XXX,terms/:instance:message,terms/:type:instance:system,terms/:predicate:enum-of,,1,terms/:enum:instance
XXX,terms/:instance:setting,terms/:type:instance:system,terms/:predicate:enum-of,,2,terms/:enum:instance
XXX,terms/:instance:study,terms/:type:instance:data,terms/:predicate:enum-of,,3,terms/:enum:instance
XXX,terms/:instance:annex,terms/:type:instance:data,terms/:predicate:enum-of,,4,terms/:enum:instance
XXX,terms/:instance:smart,terms/:type:instance:data,terms/:predicate:enum-of,,5,terms/:enum:instance
XXX,terms/:type:collection:document,terms/:type:collection,terms/:predicate:enum-of,,1,terms/:type:collection
XXX,terms/:type:collection:edge,terms/:type:collection,terms/:predicate:enum-of,,2,terms/:type:collection
XXX,terms/:domain:dict,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:terms,terms/:domain:dict,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:collection:descriptors,terms/:domain:dict,terms/:predicate:enum-of,,3,terms/:enum:collection
XXX,terms/:collection:schemas,terms/:domain:dict,terms/:predicate:enum-of,,4,terms/:enum:collection
XXX,terms/:collection:hierarchies,terms/:domain:dict,terms/:predicate:enum-of,,5,terms/:enum:collection
XXX,terms/:domain:geo,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:toponyms,terms/:domain:geo,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:collection:shapes,terms/:domain:geo,terms/:predicate:enum-of,,3,terms/:enum:collection
XXX,terms/:collection:edges,terms/:domain:geo,terms/:predicate:enum-of,,4,terms/:enum:collection
XXX,terms/:domain:auth,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:users,terms/:domain:auth,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:collection:groups,terms/:domain:auth,terms/:predicate:enum-of,,3,terms/:enum:collection
XXX,terms/:collection:sessions,terms/:domain:auth,terms/:predicate:enum-of,,4,terms/:enum:collection
XXX,terms/:domain:sys,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:settings,terms/:domain:sys,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:collection:messages,terms/:domain:sys,terms/:predicate:enum-of,,3,terms/:enum:collection
XXX,terms/:collection:logs,terms/:domain:sys,terms/:predicate:enum-of,,5,terms/:enum:collection
XXX,terms/:domain:study,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:studies,terms/:domain:study,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:collection:annexes,terms/:domain:study,terms/:predicate:enum-of,,3,terms/:enum:collection
XXX,terms/:collection:links,terms/:domain:study,terms/:predicate:enum-of,,4,terms/:enum:collection
XXX,terms/:domain:survey,terms/:enum:collection,terms/:predicate:category-of,,1,terms/:enum:collection
XXX,terms/:collection:smart,terms/:domain:survey,terms/:predicate:enum-of,,2,terms/:enum:collection
XXX,terms/:kind:data:qualitative,terms/:kind:data,terms/:predicate:enum-of,,1,terms/:kind:data
XXX,terms/:kind:data:categorical,terms/:kind:data,terms/:predicate:enum-of,,2,terms/:kind:data
XXX,terms/:kind:data:ordinal,terms/:kind:data,terms/:predicate:enum-of,,3,terms/:kind:data
XXX,terms/:kind:data:discrete,terms/:kind:data,terms/:predicate:enum-of,,4,terms/:kind:data
XXX,terms/:kind:data:quantitative,terms/:kind:data,terms/:predicate:enum-of,,5,terms/:kind:data
XXX,terms/:type:scalar,terms/:type:data,terms/:predicate:category-of,,1,terms/:type:data
XXX,terms/:type:container,terms/:type:data,terms/:predicate:category-of,,2,terms/:type:data
XXX,terms/:type:data:any,terms/:type:scalar,terms/:predicate:enum-of,,1,terms/:type:data
XXX,terms/:type:data:bool,terms/:type:scalar,terms/:predicate:enum-of,,2,terms/:type:data
XXX,terms/:type:data:numeric,terms/:type:scalar,terms/:predicate:enum-of,,3,terms/:type:data
XXX,terms/:type:data:text,terms/:type:scalar,terms/:predicate:enum-of,,4,terms/:type:data
XXX,terms/:type:value:ref:id,terms/:type:scalar,terms/:predicate:enum-of,,5,terms/:type:data
XXX,terms/:type:data:list,terms/:type:container,terms/:predicate:enum-of,,1,terms/:type:data
XXX,terms/:type:value:set,terms/:type:container,terms/:predicate:enum-of,,2,terms/:type:data
XXX,terms/:type:data:struct,terms/:type:container,terms/:predicate:enum-of,,3,terms/:type:data
XXX,terms/:type:data:object,terms/:type:container,terms/:predicate:enum-of,,4,terms/:type:data
XXX,terms/:type:scalar,terms/:type:value,terms/:predicate:category-of,,1,terms/:type:value
XXX,terms/:type:data:any,terms/:type:scalar,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:data:bool,terms/:type:scalar,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:data:text,terms/:type:scalar,terms/:predicate:enum-of,,3,terms/:type:value
XXX,terms/:type:value:hex,terms/:type:data:text,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:url,terms/:type:data:text,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:value:xml,terms/:type:data:text,terms/:predicate:enum-of,,3,terms/:type:value
XXX,terms/:type:value:svg,terms/:type:value:xml,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:html,terms/:type:value:xml,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:value:str,terms/:type:data:text,terms/:predicate:enum-of,,4,terms/:type:value
XXX,terms/:type:value:key,terms/:type:value:str,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:lid,terms/:type:value:str,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:value:var,terms/:type:value:str,terms/:predicate:enum-of,,3,terms/:type:value
XXX,terms/:type:value:email,terms/:type:value:str,terms/:predicate:enum-of,,4,terms/:type:value
XXX,terms/:type:data:numeric,terms/:type:scalar,terms/:predicate:enum-of,,4,terms/:type:value
XXX,terms/:type:value:int,terms/:type:data:numeric,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:size,terms/:type:scalar,terms/:predicate:enum-of,,5,terms/:type:value
XXX,terms/:type:value:range,terms/:type:scalar,terms/:predicate:enum-of,,6,terms/:type:value
XXX,terms/:type:value:date,terms/:type:scalar,terms/:predicate:enum-of,,7,terms/:type:value
XXX,terms/:type:value:stamp,terms/:type:scalar,terms/:predicate:enum-of,,8,terms/:type:value
XXX,terms/:type:value:ref:id,terms/:type:scalar,terms/:predicate:enum-of,,9,terms/:type:value
XXX,terms/:type:value:ref:key,terms/:type:scalar,terms/:predicate:enum-of,,10,terms/:type:value
XXX,terms/:type:value:term,terms/:type:value:ref:key,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:enum,terms/:type:value:ref:key,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:value:field,terms/:type:value:ref:key,terms/:predicate:enum-of,,3,terms/:type:value
XXX,terms/:type:container,terms/:type:value,terms/:predicate:category-of,,2,terms/:type:value
XXX,terms/:type:data:list,terms/:type:container,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:value:set,terms/:type:container,terms/:predicate:enum-of,,2,terms/:type:value
XXX,terms/:type:value:str:set,terms/:type:value:set,terms/:predicate:enum-of,,1,terms/:type:value
XXX,terms/:type:data:struct,terms/:type:container,terms/:predicate:enum-of,,3,terms/:type:value
XXX,terms/:type:data:object,terms/:type:container,terms/:predicate:enum-of,,4,terms/:type:value
XXX,terms/:type:value:geojson,terms/:type:container,terms/:predicate:enum-of,,5,terms/:type:value
XXX,terms/:type:value,terms/:type:data:any,terms/:predicate:type-of,,,terms/:type:data:any
XXX,terms/:type:value,terms/:type:data:bool,terms/:predicate:type-of,,,terms/:type:data:bool
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:data:text
XXX,terms/:type:value,terms/:type:data:numeric,terms/:predicate:type-of,,,terms/:type:data:numeric
XXX,terms/:type:value,terms/:type:data:list,terms/:predicate:type-of,,,terms/:type:data:list
XXX,terms/:type:value,terms/:type:data:struct,terms/:predicate:type-of,,,terms/:type:data:struct
XXX,terms/:type:value,terms/:type:data:object,terms/:predicate:type-of,,,terms/:type:data:object
XXX,terms/:type:value,terms/:type:data:list,terms/:predicate:type-of,,,terms/:type:value:set
XXX,terms/:type:data:list,terms/:type:value:set,terms/:predicate:type-of,,,terms/:type:value:set
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:hex
XXX,terms/:type:data:text,terms/:type:value:hex,terms/:predicate:type-of,,,terms/:type:value:hex
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:url
XXX,terms/:type:data:text,terms/:type:value:url,terms/:predicate:type-of,,,terms/:type:value:url
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:xml
XXX,terms/:type:data:text,terms/:type:value:xml,terms/:predicate:type-of,,,terms/:type:value:xml
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:svg
XXX,terms/:type:data:text,terms/:type:value:xml,terms/:predicate:type-of,,,terms/:type:value:svg
XXX,terms/:type:value:xml,terms/:type:value:svg,terms/:predicate:type-of,,,terms/:type:value:svg
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:html
XXX,terms/:type:data:text,terms/:type:value:xml,terms/:predicate:type-of,,,terms/:type:value:html
XXX,terms/:type:value:xml,terms/:type:value:html,terms/:predicate:type-of,,,terms/:type:value:html
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:str
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:str
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:key
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:key
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:key
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:var
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:var
XXX,terms/:type:value:str,terms/:type:value:var,terms/:predicate:type-of,,,terms/:type:value:var
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:lid
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:lid
XXX,terms/:type:value:str,terms/:type:value:lid,terms/:predicate:type-of,,,terms/:type:value:lid
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:date
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:date
XXX,terms/:type:value:str,terms/:type:value:date,terms/:predicate:type-of,,,terms/:type:value:date
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:email
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:email
XXX,terms/:type:value:str,terms/:type:value:email,terms/:predicate:type-of,,,terms/:type:value:email
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:ref:id
XXX,terms/:type:data:text,terms/:type:value:ref:id,terms/:predicate:type-of,,,terms/:type:value:ref:id
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:ref:key
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:ref:key
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:ref:key
XXX,terms/:type:value:key,terms/:type:value:ref,terms/:predicate:type-of,,,terms/:type:value:ref:key
XXX,terms/:type:value:ref,terms/:type:value:ref:key,terms/:predicate:type-of,,,terms/:type:value:ref:key
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:ref:gid
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:ref:gid
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:ref:gid
XXX,terms/:type:value:key,terms/:type:value:ref,terms/:predicate:type-of,,,terms/:type:value:ref:gid
XXX,terms/:type:value:ref,terms/:type:value:ref:gid,terms/:predicate:type-of,,,terms/:type:value:ref:gid
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:value:key,terms/:type:value:ref,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:value:ref,terms/:type:value:ref:key,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:value:ref:key,terms/:type:value:term,terms/:predicate:type-of,,,terms/:type:value:term
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:value:key,terms/:type:value:ref,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:value:ref,terms/:type:value:ref:gid,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:value:ref:gid,terms/:type:value:field,terms/:predicate:type-of,,,terms/:type:value:field
XXX,terms/:type:value,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value:str,terms/:type:value:key,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value:key,terms/:type:value:ref,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value:ref,terms/:type:value:ref:key,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value:ref:key,terms/:type:value:term,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value:term,terms/:type:value:enum,terms/:predicate:type-of,,,terms/:type:value:enum
XXX,terms/:type:value,terms/:type:data:numeric,terms/:predicate:type-of,,,terms/:type:value:int
XXX,terms/:type:data:numeric,terms/:type:value:int,terms/:predicate:type-of,,,terms/:type:value:int
XXX,terms/:type:value,terms/:type:data:numeric,terms/:predicate:type-of,,,terms/:type:value:stamp
XXX,terms/:type:data:numeric,terms/:type:value:int,terms/:predicate:type-of,,,terms/:type:value:stamp
XXX,terms/:type:value:int,terms/:type:value:stamp,terms/:predicate:type-of,,,terms/:type:value:stamp
XXX,terms/:type:value,terms/:type:data:list,terms/:predicate:type-of,,,terms/:type:value:size
XXX,terms/:type:data:list,terms/:type:value:size,terms/:predicate:type-of,,,terms/:type:value:size
XXX,terms/:type:value,terms/:type:data:list,terms/:predicate:type-of,,,terms/:type:value:range
XXX,terms/:type:data:list,terms/:type:value:range,terms/:predicate:type-of,,,terms/:type:value:range
XXX,terms/:type:value,terms/:type:data:list,terms/:predicate:type-of,,,terms/:type:value:str:set
XXX,terms/:type:data:list,terms/:type:value:set,terms/:predicate:type-of,,,terms/:type:value:str:set
XXX,terms/:type:value:set,terms/:type:data:text,terms/:predicate:type-of,,,terms/:type:value:str:set
XXX,terms/:type:data:text,terms/:type:value:str,terms/:predicate:type-of,,,terms/:type:value:str:set
XXX,terms/:type:value:str,terms/:type:value:str:set,terms/:predicate:type-of,,,terms/:type:value:str:set
XXX,terms/:type:value,terms/:type:data:object,terms/:predicate:type-of,,,terms/:type:value:geojson
XXX,terms/:type:data:object,terms/:type:value:geojson,terms/:predicate:type-of,,,terms/:type:value:geojson
XXX,terms/:type:format:scalar,terms/:type:format,terms/:predicate:enum-of,,1,terms/:type:format
XXX,terms/:type:format:list,terms/:type:format,terms/:predicate:enum-of,,2,terms/:type:format
XXX,terms/:type:format:set,terms/:type:format,terms/:predicate:enum-of,,3,terms/:type:format
XXX,terms/:type:unit:length,terms/:type:unit,terms/:predicate:enum-of,,1,terms/:type:unit
XXX,terms/:type:unit:area,terms/:type:unit,terms/:predicate:enum-of,,2,terms/:type:unit
XXX,terms/:type:unit:weight,terms/:type:unit,terms/:predicate:enum-of,,3,terms/:type:unit
XXX,terms/:type:unit:time,terms/:type:unit,terms/:predicate:enum-of,,4,terms/:type:unit
XXX,terms/:type:unit:length,terms/:enum:unit,terms/:predicate:category-of,,1,terms/:enum:unit
XXX,terms/:type:unit:area,terms/:enum:unit,terms/:predicate:category-of,,2,terms/:enum:unit
XXX,terms/:type:unit:weight,terms/:enum:unit,terms/:predicate:category-of,,3,terms/:enum:unit
XXX,terms/:type:unit:time,terms/:enum:unit,terms/:predicate:category-of,,4,terms/:enum:unit
XXX,terms/:type:unit:age,terms/:enum:unit,terms/:predicate:category-of,,5,terms/:enum:unit
XXX,terms/:type:unit:length:km,terms/:type:unit:length,terms/:predicate:enum-of,,1,terms/:enum:unit
XXX,terms/:type:unit:length:m,terms/:type:unit:length,terms/:predicate:enum-of,,2,terms/:enum:unit
XXX,terms/:type:unit:length:cm,terms/:type:unit:length,terms/:predicate:enum-of,,3,terms/:enum:unit
XXX,terms/:type:unit:length:mm,terms/:type:unit:length,terms/:predicate:enum-of,,4,terms/:enum:unit
XXX,terms/:type:unit:area:km,terms/:type:unit:area,terms/:predicate:enum-of,,1,terms/:enum:unit
XXX,terms/:type:unit:area:m,terms/:type:unit:area,terms/:predicate:enum-of,,2,terms/:enum:unit
XXX,terms/:type:unit:area:cm,terms/:type:unit:area,terms/:predicate:enum-of,,3,terms/:enum:unit
XXX,terms/:type:unit:area:mm,terms/:type:unit:area,terms/:predicate:enum-of,,4,terms/:enum:unit
XXX,terms/:type:unit:weight:kg,terms/:type:unit:weight,terms/:predicate:enum-of,,1,terms/:enum:unit
XXX,terms/:type:unit:weight:g,terms/:type:unit:weight,terms/:predicate:enum-of,,2,terms/:enum:unit
XXX,terms/:type:unit:weight:cg,terms/:type:unit:weight,terms/:predicate:enum-of,,3,terms/:enum:unit
XXX,terms/:type:unit:weight:mg,terms/:type:unit:weight,terms/:predicate:enum-of,,4,terms/:enum:unit
XXX,terms/:type:unit:time:h,terms/:type:unit:time,terms/:predicate:enum-of,,1,terms/:enum:unit
XXX,terms/:type:unit:time:m,terms/:type:unit:time,terms/:predicate:enum-of,,2,terms/:enum:unit
XXX,terms/:type:unit:time:s,terms/:type:unit:time,terms/:predicate:enum-of,,3,terms/:enum:unit
XXX,terms/:type:unit:age:y,terms/:type:unit:age,terms/:predicate:enum-of,,1,terms/:enum:unit
XXX,terms/:type:unit:age:m,terms/:type:unit:age,terms/:predicate:enum-of,,2,terms/:enum:unit
XXX,terms/:type:unit:age:d,terms/:type:unit:age,terms/:predicate:enum-of,,3,terms/:enum:unit
XXX,terms/ISO:639:3:eng,terms/:enum:language,terms/:predicate:enum-of,,1,terms/:enum:language
XXX,terms/:type:predicate:enum,terms/:type:predicate,terms/:predicate:enum-of,,1,terms/:type:predicate
XXX,terms/:type:predicate:struct,terms/:type:predicate,terms/:predicate:enum-of,,2,terms/:type:predicate
XXX,terms/:type:predicate:form,terms/:type:predicate,terms/:predicate:enum-of,,3,terms/:type:predicate
XXX,terms/:type:predicate:function,terms/:type:predicate,terms/:predicate:enum-of,,4,terms/:type:predicate
XXX,terms/:type:predicate:attribute,terms/:type:predicate,terms/:predicate:enum-of,,5,terms/:type:predicate
XXX,terms/:type:predicate:enum,terms/:enum:predicate,terms/:predicate:category-of,,1,terms/:enum:predicate
XXX,terms/:type:predicate:struct,terms/:enum:predicate,terms/:predicate:category-of,,2,terms/:enum:predicate
XXX,terms/:type:predicate:form,terms/:enum:predicate,terms/:predicate:category-of,,3,terms/:enum:predicate
XXX,terms/:type:predicate:function,terms/:enum:predicate,terms/:predicate:category-of,,4,terms/:enum:predicate
XXX,terms/:type:predicate:attribute,terms/:enum:predicate,terms/:predicate:category-of,,5,terms/:enum:predicate
XXX,terms/:predicate:template-of,terms/:type:predicate:enum,terms/:predicate:enum-of,,1,terms/:enum:predicate
XXX,terms/:predicate:category-of,terms/:type:predicate:enum,terms/:predicate:enum-of,,2,terms/:enum:predicate
XXX,terms/:predicate:enum-of,terms/:type:predicate:enum,terms/:predicate:enum-of,,3,terms/:enum:predicate
XXX,terms/:predicate:class-of,terms/:type:predicate:struct,terms/:predicate:enum-of,,1,terms/:enum:predicate
XXX,terms/:predicate:property-of,terms/:type:predicate:struct,terms/:predicate:enum-of,,2,terms/:enum:predicate
